review,aspect,aspect_category,sentiment
"The remuneration is not so good and it does not get much higher than the labor market and some cases of specific dismissals within the company are informed instantly without giving feedback to the employee.""",pay,pay,negative
"The company does not offer a job and salary or career plan, internal recruitment system is inconsistent and inefficient hiring system.",promotion,promotion,negative
"PLR low VA low VR Low Promotion usually takes Medical agreement for dependent Career plan Holiday PLR VA VR Promotion usually takes""",benefits,benefits,negative
"Many managers who can not manage people, an old-fashioned work environment and who do not see the diversity of the 21st century professional.",supervision,supervision,negative
"There is no career plan. Salary below market. Very inconsistent organizational structure, unclear company goals, high workload.",rewards,rewards,negative
"They take too long to recognize a good employee and when they acknowledge he gets stuck in his position for being good there, and they promote what has more time of home for time not for quality",promotion,promotion,negative
"Difficult to open internal space for developer, the focus is Java. Difficult to get a salary negotiation, at least for those who stay in customer like me.",pay,pay,negative
"Low benefits. The company always finds a way to discount anything. It has a quality sector that always takes money from employees.""",benefits,benefits,negative
"Career is a delicate matter, since 99% of the positions are located in SP! You have to be willing to move, to grow and to get something new.",rewards,rewards,negative
"Swollen organizational structure. Traditionalist model, difficulty to change, mix in management. Precarious building structure. Politics leaves the scenario more complex and time consuming.",promotion,promotion,negative
"It can improve in remuneration, the average value of remuneration is below the market, which impacts on the long-term permanence of some levels of position in the company.",pay,pay,negative
"The company itself has a good idea, but the employees chosen to realize the growth of the team are very unmotivated, (multipliers), are unmotivated believe that accommodated and unfortunately the larger managers do not identify because the fearful team end up accepting for fear of losing the job and it ends up that the end customer service becomes of poor quality doing so the analysts work unhappy, that was the reason that leaves, much rotation for lack of training being that the work itself is very pulled.",supervision,supervision,negative
"Define a career plan for employees, improve the benefits, a lunchroom promote specialization for the staff",promotion,promotion,negative
"Needs greater integration between operational areas Needs greater investment in leading technologies and dissemination to operational teams Improve support area""",conditions,conditions,negative
"The HR and Executive part takes a long time to deliver on the promises that are made and these sectors are very messy causing several frustrations. Every time there is need to change benefit is a childbirth""",benefits,benefits,negative
"Human resources totally disorganized, delayed in several aspects, VR, VA, online registrations among other things. With certain modifications, employee support will be perfect.",supervision,supervision,negative
