id,user,avaliation,former_employeer
0,Analista Pleno,"Prós: Oportunidade de Aprendizado, grande quantidade de cursos online para capacitação, diversas oportunidades de crescimento, pacote de benefícios interessantes Contras: Baixo salário em relação ao mercado em relação as demais consultorias do mesmo ramo, principalmente nas áreas de TI. É uma ótima empresa para começo de carreira.   ",False
1,Analista de Suporte Pleno,"Prós: Empresa com ótima cultura que busca sempre estar sempre melhorando e inovando as soluções que são fabricadas dentro da empresa, possibilitando um ótimo trabalho em conjunto com os times possibilitando enorme aprendizagem de como funciona uma grande empresa de tecnologia. Contras: A remuneração não é tão boa e não fica muito acima em relação ao mercado de trabalho e alguns casos de demissão pontuais dentro da companhia são informados de maneira instantânea sem passar um feedback para o colaborador. Conselhos para presidência: Pro-Atividade e sempre imagine maneiras de inovar.   ",False
2,Comprador,"Prós: boa empresa para se trabalhar, mas é muito burocrática e os processos internos muito demorados o que atrasa alguns prazos. POR SER UMA ESMPRESA DE TECNOLOGIA DEVERIA TER UM SISTEMA MAIS INTEGRADO Q FACILITASSE O DIA A DIA DO FUNCIONARIO. Contras: boa empresa para se trabalhar, mas é muito burocrática e os processos internos muito demorados o que atrasa alguns prazos. POR SER UMA EMPRESA DE TECNOLOGIA DEVERIA TER UM SISTEMA MAIS INTEGRADO.   ",False
3,"Assistente Administrativo - Ex-funcionário, saiu em 2012","Prós: Autonomia, prédio maravilhoso, benefícios, oportunidade de crescimento. Time unido Contras: Uma empresa pronta para receber seus funcionários; e vc tem q estar pronto para ser o dono da sua função e trabalho, eu amava o que eu fazia então não tinha do que reclamar   ",True
4,Supervisor de TI Sênior,"Prós: Oferece bastante beneficios, dental, saúde, seguro de vida, ticket refeição ou alimentação, disponibiliza o básico de estrutura de trabalho. Contras: RH ruim e nenhuma oportunidade de crescimento. Falta de Falta de comprometimento das lideranças em manter um ambiente tranquilo para se trabalhar. Não oferece treinamento e capacitação. Conselhos para presidência: O melhor ativo da empresa são seus funcionarios! Quando há valorização ambas as partes saem ganhando.   ",False
5,Desenvolvedor de Programador III,"Prós: Pagamento sempre em dia, bom ambiente de trabalho, plano de saude, vale alimentação e refeição, gerentes competentes e que entendem do serviço. Contras: A empresa não oferece um plano de cargos e salários ou pregressão de carreira, sistema de recrutamento interno não é coerente e sistema de contratação ineficiente.   ",False
6,"Técnico de Campo Pleno - Ex-funcionário, saiu em 2018","Prós: A empresa tem flexibilidade de horario, dependendo da sua área claro. Os beneficios são muito bons, e tem um politica de ouvir os empregados. Disponibiliza varias ferramentas para manter os empregados atualizados, e sempre informados. Contras: Nem todos os gestores cooperam para o crescimento profissional do time. A empresa tem se emprenhado para desenvolver os empregados e acredito que eles terão muito sucesso se manterem os trabalhos que vem sendo feito.   ",True
7,"Program Manager - Ex-funcionário, saiu em 2014","Prós: Empresa oferece bastante oportunidades de cursos, treinamentos e certificações Uso do inglês é bem frequente dependendo do time, o que é ótimo para quem deseja praticar o idioma. O cuidado com o funcionário é bem vísivel tendo em vista a quantidade de iniciativas que existem visando a qualidade de vida dos empregados (negros, LGBTQ+, etc...). Contras: Alguns desenvolvedores são extremamente arrogantes, contrariando o que a empresa prega, que é respeito ao funcionário e às diferenças. No meu time, não houve um cuidado em treinamentos para que eu pudesse conhecer melhor o meu time e as pessoas ao meu redor. Conselhos para presidência: Propiciar treinamentos e atividades de integração entre os funcionários e também com outros times cross-segments.   ",True
8,Analista de Banco de Dados Júnior,"Prós: Ambiente descontraído horário flexível ambiente confortáve liberdade expressar suas ideias Ambulatorio medico Nutricionista Pipocas a tarde Contras: PLR baixa VA baixo VR Baixo Promoção costuma demorar Convênio médico para dependente Plano de carreira Férias PLR VA VR Promoção costuma demorar""",False
9,Senior Manager,"Prós: Empresa internacional, oportunidades de projetos com clientes variados de diferentes industrias e possibilidade de viajar ao exterior. Colegas de alto nivel. Contras: A empresa deve continuar fazendo o que sempre fez e desta maneira seguira sendo lider de mercado nos varios segmentos onde atua. Aconselho a gerencia a inspirar os funcionarios. ",False
10,Gerente de Projetos,"Prós: Oportunidade de evolução de carreira, ambiente de trabalho equilibrado e próspero para profissionais que normalmente se destacam em seu trabalho. Contras: Muitos gestores que não conseguem gerir pessoas, ambiente de trabalho antiquado e que não enxerga a diversidade do profissional do século 21. Conselhos para presidência: Apesar de muitos cargos de gestão, na área em que estou atuando a empresa peca na gestão de pessoas e de processos, ficando na mão de um analista brilhante e deixando de lado a evolução de outras pessoas na equipe.   ",False
11,Estagiário,"Prós: Uma empresa multinacional, com grande participação no segmento de tecnologia e que possui boas oportunidades de carreira para quem procura uma grande companhia para se desenvolver Contras: Valor dos benefícios baixo e gestão de pessoas um pouco fraca. Não há plano de carreiras bem definido e por conta desses fatores acaba que não conseguem reter bons talentos   ",False
12,Gerente,"Prós: Benefícios e possibilidade de desenvolvimento. Programas e projetos super alinhados com as tendências de gestão. Liberdade de horário e dress code e clima de trabalho excepcional Contras: Poderia oferecer melhores oportunidades de crescimento para colaboradores fora de SP. Há muitas vagas internas para colaboradores nestas cidades que nem sempre são disponibilizadas para pessoas das regionais. Conselhos para presidência: Valorizar os times que não são da área comercial.""",False
