review,former_emp
"Flexibility, stability, dynamism, good benefits. .",1
"lack of structure in the chain of command, and fumigation control training and training, and flow of information and feedback to employees and customers.",1
"Benefits of the company are excellent, especially Life Link and Pension Plan and health plan. Opportunity to carry out a vast list of trainings, to develop in your area or in a new one within the company. Career Opportunity.",1
"Many unprepared managers make it discourage sometimes from day to day, but depart from each area. In recent years there has been a reduction in the number of staff, and with this there was work overload, many overtime, most of which end up becoming hours bank.",1
Everything is very good at Algar! It has points to improve but it is very good to work!,1
"The salary could be a little better, the leaders have little experience and usually do not give the account!",1
A great company with great cliebtes and good common technical team. It is a great environment to learn a lot about the ITO and eata standards with a strong expansion in the cable area.,1
The company loses several promising talents for lack of proper employee recognition and a lack of technical expertise on the part of management. &quot;,1
Friendly work environment and nationwide company. Possibility of adding knowledge of several sectors of retail and areas.,1
Failure to recognize the work of some employees is discouraging. Important company sectors like HR and Personal Department are disorganized and leave a lot to be desired &quot;,1
"Good company for internships, has internal courses and staff willing to teach and pass knowledge. Some moments of celebration and interaction between employees of other sectors. Flexible working hours. Partnerships.",1
Location of the matrix away from the central region. Below average internship salary in relation to other companies. Worth the meal worth a bit out of the value of the restaurants in the area.,1
"The team is open to new solutions, I really like the team leader, he is a communicative person and he values the team. Opportunity to learn together with the team, interesting benefits for those who are starting in the market, and good reference by the name of the company and current technologies in the market.",1
"The staff is available to the client&#39;s company, my criticisms are related to the client&#39;s company, which does not provide basic conditions for the outsourced staff (good internet, refrigerator, microwave), the company&#39;s badge takes a long time to do, always delayed in the entrance, the computers made available are also not so good, although the machines are taken care of the employees themselves. I think the main thing would be for the company to take this care with the employees inside the clients&#39; company, so we will not be left to them.",1
"Freedom of work, flexible hours, excellent package of benefits like food, health insurance, life insurance and discounts in the companies.",1
"Many management positions, including directors. Wages below the market average. Lack of a strategic vision for the company in the long term. Some departments work in isolation and do not communicate well. Physical structure is not ideal.",1
The freedom to choose the technology that we will use if the staff agrees that it is advantageous,1
The relationship between older people and younger people. I do not feel like part of the team.,1
"Career planning, communication between areas, internal courses offered for better absorption within the company, feedback, management meetings",1
"RH, sometimes as we are allocated in the client we do not have the facility of some data, where it demands time and generates wear and tear with the people who stay in the operation",1
"It is a company that everyone is motivated, there are individual recognitions and the salary is very good. There are career plans and communication with top management is simple and happens.",1
"It can improve standardization among plants, have more defined processes and be charged for them. To get well you have to have a relationship",1
"Great company! relaxed atmosphere. differentiated location, employees with the young profile. company is always in contact with the collaborator through emails informing about the events and creating tools for the motivation and growth of the collaborator. Flexible working hours and a large part of the employees contribute to the climate that is currently satisfactory. The initial integration between the company and the employee gives the same a sense of position of the company where it works and that is makes a huge difference.",1
"Coordination is not very participatory and well reactive. managers often have more involvement than the coordinator. having knowledge of the size of the company, I believe that profit sharing could be better. the meal voucher does not meet the value of the region where the head office is located. and the Medical Agreement is co-participative. the distribution of the departments is favorable only to the managers (for us collaborators is terrible, as we are going up and down stairs and taking elevator). the company also does not promote and encourage employee integration.",1
